"Sample Type","Lab No","Test ID","Date Recd","Date Rept","Beginning Depth","Ending Depth","Soil pH 1:1","Wdrf Buffer","1:1 Electrical Conductivity, mmho/cm","Excess Lime","Organic Matter, % LOI","Soil Respiration, ppm CO2-C","H2O Total Org. C, ppm C","H2O Total N, ppm N","H2O Org. N, ppm N","H3A Nitrate, ppm NO3-N","H3A Ammonium, ppm NH4-N","H3A Inorganic N, ppm N","H3A Total Phosphorus, ppm P","H3A Inorganic Phosphorus, ppm PO4-P","H3A Organic Phosphorus, ppm P","H3A Potassium, ppm K","H3A Calcium, ppm Ca","H3A Magnessium, ppm Mg","H3A Sodium, ppm Na","H3A Sulfur, ppm S","H3A Zinc, ppm Zn","H3A Iron, ppm Fe","H3A Manganese, ppm Mn","H3A Copper, ppm Cu","H3A Aluminum, ppm Al","Microbially Active C, %","H2O Org. C:Org. N ","H2O Org. N:H3A Inorg. N","Organic N Release, ppm N","Organic N Reserve, ppm N","Organic P Release, ppm P","Organic P Reserve, ppm P","Soil Health Score","Available N, lbs/A","Available P, lbs/A","Available K, lbs/A","Nutrient Value, $","Traditional Test N, lbs/A","Haney Test N, lbs/A","N Difference, lbs/A","N Savings, $","Cover Crop Mix","Past Crop","Crop 1","YG 1","Nitrogen Rec 1","P205 Rec 1","K2O Rec 1","Magnesium Rec 1","Sulfur Rec 1","Zinc Rec 1","Iron Rec 1","Manganese Rec 1","Copper Rec 1","Lime Rec 1","Crop 2","YG 2","Nitrogen Rec 2","P205 Rec 2","K2O Rec 2","Magnesium Rec 2","Sulfur Rec 2","Zinc Rec 2","Iron Rec 2","Manganese Rec 2","Copper Rec 2","Lime Rec 2","Crop 3","YG 3","Nitrogen Rec 3","P205 Rec 3","K2O Rec 3","Magnesium Rec 3","Sulfur Rec 3","Zinc Rec 3","Iron Rec 3","Manganese Rec 3","Copper Rec 3","Lime Rec 3"
"SOIL HEALTH","50052","N/A","10/12/2020","10/17/2020","0","12","8.6","","0.9","HIGH","0.6","5.2","74","18.2","4.7","13.4","1.3","14.7","11","8.1","2.7","74","2882","121","260","42.7","0.02","2.3","3.4","0.09","9.1","7.1","15.77","0.35","1.32","3.35","0.57","2.14","2.46","57.5","20.0","89.2","89.19","48.2","57.5","9.3","5.94","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50053","N/A","10/12/2020","10/17/2020","12","24","8.4","","1.5","HIGH","0.6","5.8","63","31.6","4.6","26.2","1.1","27.3","3","3.0","0.0","42","3113","164","362","76.0","0.01","1.4","1.6","0.08","5.9","9.2","13.66","0.17","1.70","2.91","0.00","0.00","2.30","104.3","7.0","50.3","94.62","94.3","104.3","10.0","6.38","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50054","N/A","10/12/2020","10/17/2020","24","36","8.6","","1.4","HIGH","0.5","3.4","51","35.9","5.5","31.2","0.9","32.1","4","3.0","0.6","26","3106","167","399","49.7","0.01","1.2","0.9","0.02","5.0","6.7","9.28","0.18","1.47","3.98","0.12","0.47","1.90","120.7","7.1","31.6","95.83","112.3","120.7","8.4","5.35","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50055","N/A","10/12/2020","10/17/2020","0","12","8.7","","1.0","HIGH","0.6","5.6","74","26.3","5.7","19.4","1.1","20.5","9","7.7","1.4","71","2900","125","240","30.1","0.02","2.0","3.6","0.10","8.9","7.6","12.96","0.28","1.73","3.97","0.31","1.07","2.61","80.0","18.4","84.9","100.79","69.8","80.0","10.1","6.47","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50056","N/A","10/12/2020","10/17/2020","12","24","8.6","","1.3","HIGH","0.7","6.8","72","22.3","3.9","17.7","0.9","18.6","3","3.1","0.0","34","3051","153","382","65.1","0.02","1.9","1.7","0.06","6.5","9.5","18.14","0.22","1.50","2.44","0.01","0.02","2.51","72.2","7.0","41.1","69.49","63.7","72.2","8.5","5.41","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50057","N/A","10/12/2020","10/17/2020","24","36","8.3","","2.5","HIGH","0.7","3.4","52","45.2","4.6","40.7","0.4","41.1","3","2.2","0.6","15","3148","208","529","178.1","0.01","1.4","0.9","0.03","6.2","6.5","11.30","0.11","1.20","3.43","0.11","0.48","1.85","152.4","5.4","17.7","108.50","146.5","152.4","5.9","3.76","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50058","N/A","10/12/2020","10/17/2020","0","12","8.6","","1.0","HIGH","0.7","6.6","78","15.9","5.8","9.6","1.0","10.6","11","8.3","2.2","56","2926","120","251","38.7","0.02","2.0","3.7","0.09","9.1","8.4","13.51","0.57","1.95","3.83","0.57","1.67","2.80","45.3","20.4","67.7","70.79","34.6","45.3","10.7","6.85","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50059","N/A","10/12/2020","10/17/2020","12","24","8.2","","2.0","HIGH","0.6","6.3","62","55.5","5.8","48.1","0.8","48.9","14","9.2","4.7","28","3170","149","374","93.2","0.01","1.6","2.0","0.10","6.6","10.2","10.57","0.12","2.39","3.45","1.44","3.25","2.45","184.7","24.4","33.8","144.59","173.2","184.7","11.5","7.37","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50060","N/A","10/12/2020","10/17/2020","24","36","8.3","","2.6","HIGH","0.7","5.4","52","55.5","5.4","49.3","0.6","49.9","3","2.5","0.6","24","3127","191","498","125.1","0.01","1.2","0.8","0.04","5.4","10.5","9.60","0.11","2.25","3.12","0.17","0.38","2.11","187.8","6.1","28.5","136.81","177.5","187.8","10.3","6.59","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50061","N/A","10/12/2020","10/17/2020","0","12","8.6","","0.9","HIGH","0.6","9.2","77","13.8","4.8","7.7","1.3","9.0","7","5.5","1.8","47","3005","126","221","27.6","0.01","1.8","3.5","0.09","8.5","11.9","15.99","0.54","2.30","2.52","0.65","1.17","2.94","40.5","14.2","56.7","59.80","27.5","40.5","13.0","8.30","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50062","N/A","10/12/2020","10/17/2020","12","24","8.5","","1.3","HIGH","0.6","3.9","65","36.0","6.0","31.3","0.9","32.2","3","2.7","0.6","22","3195","159","351","64.3","0.01","1.7","1.4","0.06","5.9","6.0","10.81","0.20","1.44","4.57","0.10","0.46","2.29","121.2","6.5","26.1","93.14","112.7","121.2","8.5","5.42","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50063","N/A","10/12/2020","10/17/2020","24","36","8.5","","1.7","HIGH","0.7","4.0","45","34.7","4.4","30.3","0.7","31.0","3","2.5","0.5","19","2898","184","404","64.4","0.01","1.0","0.8","0.03","4.3","8.9","10.17","0.15","1.57","2.85","0.13","0.36","1.74","117.1","6.1","23.2","88.94","109.1","117.1","8.1","5.15","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50064","N/A","10/12/2020","10/17/2020","0","12","8.4","","1.2","HIGH","0.7","8.0","71","24.1","7.0","17.9","1.0","18.9","8","6.3","1.9","51","2935","124","250","47.7","0.01","2.0","3.3","0.05","9.2","11.3","10.13","0.41","3.16","3.81","0.66","1.27","2.91","79.5","16.0","61.6","87.93","64.4","79.5","15.1","9.65","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50065","N/A","10/12/2020","10/17/2020","12","24","8.3","","1.9","HIGH","0.8","4.9","61","59.2","7.6","51.6","1.0","52.6","4","2.6","0.9","20","3379","165","332","85.5","0.01","1.2","1.5","0.06","4.3","8.0","8.07","0.15","2.43","5.19","0.21","0.65","2.48","198.1","6.5","23.7","141.17","185.8","198.1","12.3","7.87","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50066","N/A","10/12/2020","10/17/2020","24","36","8.5","","1.4","HIGH","0.7","3.8","48","18.5","4.7","14.6","0.5","15.1","3","2.4","0.1","17","3193","183","318","59.8","0.01","1.0","0.7","0.07","4.0","7.9","10.11","0.35","1.50","3.24","0.02","0.08","1.81","59.8","5.6","20.2","50.57","52.6","59.8","7.3","4.65","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50067","N/A","10/12/2020","10/17/2020","0","12","8.6","","1.0","HIGH","0.7","7.1","66","16.8","3.9","12.5","1.2","13.7","5","4.9","0.1","8","557","26","46","5.9","0.01","0.2","0.6","0.02","1.8","10.7","17.16","0.30","1.66","2.20","0.02","0.05","2.42","55.3","11.3","10.1","44.86","45.0","55.3","10.3","6.60","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50068","N/A","10/12/2020","10/17/2020","12","24","8.3","","1.9","HIGH","0.6","5.8","54","47.0","6.4","41.8","0.9","42.7","3","2.6","0.6","21","3292","157","346","83.0","0.01","1.7","1.3","0.06","5.6","10.7","8.49","0.16","2.73","3.68","0.18","0.39","2.31","163.5","6.3","24.9","119.54","150.5","163.5","13.0","8.33","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50069","N/A","10/12/2020","10/17/2020","24","36","8.3","","1.4","HIGH","0.5","4.3","47","30.8","4.6","25.0","0.7","25.7","3","2.3","0.9","17","3271","169","315","49.6","0.01","1.2","0.8","0.04","4.1","9.1","10.27","0.17","1.67","2.90","0.26","0.67","1.83","98.5","6.0","20.1","75.38","90.0","98.5","8.5","5.42","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50070","N/A","10/12/2020","10/17/2020","0","12","8.5","","1.0","HIGH","0.6","6.8","73","20.0","4.4","14.6","1.3","15.9","8","5.6","2.4","51","2941","126","244","42.8","0.01","2.0","3.3","0.07","9.4","9.4","16.54","0.28","1.64","2.74","0.67","1.72","2.57","63.0","14.5","61.2","76.56","52.6","63.0","10.4","6.67","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50071","N/A","10/12/2020","10/17/2020","12","24","7.9","","1.8","HIGH","0.6","5.8","80","55.9","6.0","48.3","1.6","49.9","4","3.0","0.7","34","3338","151","309","77.9","0.02","1.6","1.7","0.06","5.4","7.3","13.32","0.12","1.74","4.26","0.16","0.57","2.78","185.9","7.3","40.2","141.93","173.9","185.9","12.0","7.70","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50072","N/A","10/12/2020","10/17/2020","24","36","8.3","","1.3","HIGH","0.7","4.6","52","32.8","4.7","28.1","0.8","28.9","3","2.5","0.3","30","3224","172","302","40.7","0.01","1.1","0.7","0.08","4.9","8.9","11.19","0.17","1.64","3.00","0.07","0.18","1.96","110.0","5.9","35.9","90.65","101.2","110.0","8.9","5.67","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50073","N/A","10/12/2020","10/17/2020","0","12","8.4","","0.9","HIGH","0.6","7.8","74","21.7","4.7","16.1","1.4","17.5","7","6.1","1.3","50","2914","127","225","28.6","0.01","2.0","3.5","0.07","9.1","10.5","15.68","0.28","1.99","2.75","0.42","0.92","2.74","70.2","15.1","60.3","81.01","58.0","70.2","12.3","7.86","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50074","N/A","10/12/2020","10/17/2020","12","24","8.3","","1.4","HIGH","0.8","6.1","75","28.6","4.6","23.6","0.9","24.5","3","2.5","0.9","22","3036","169","366","62.7","0.01","1.7","1.2","0.06","6.9","8.2","16.38","0.19","1.49","3.06","0.21","0.66","2.56","93.6","6.1","25.9","75.22","85.0","93.6","8.6","5.50","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50075","N/A","10/12/2020","10/17/2020","24","36","8.5","","1.3","HIGH","0.8","5.2","53","28.0","3.9","23.9","0.5","24.4","3","2.5","0.7","13","3139","190","366","45.9","0.01","1.2","0.7","0.06","6.0","9.8","13.81","0.16","1.51","2.35","0.20","0.47","1.97","93.3","6.2","15.0","69.66","86.0","93.3","7.3","4.66","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50076","N/A","10/12/2020","10/17/2020","0","12","8.6","","0.8","HIGH","0.7","7.9","70","19.7","4.4","16.1","1.3","17.4","8","6.4","1.7","45","2943","129","219","25.6","0.01","1.9","3.6","0.08","9.9","11.3","15.95","0.29","1.98","2.42","0.58","1.13","2.64","69.6","16.0","54.4","77.98","58.0","69.6","11.6","7.44","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50077","N/A","10/12/2020","10/17/2020","12","24","8.6","","1.0","HIGH","0.7","10.1","61","19.0","4.0","14.6","0.8","15.4","4","3.2","0.7","20","3096","154","318","32.7","0.01","1.5","1.3","0.09","7.0","16.6","15.39","0.26","2.62","1.34","0.33","0.34","2.63","64.7","8.0","24.6","56.83","52.6","64.7","12.1","7.77","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50078","N/A","10/12/2020","10/17/2020","24","36","8.6","","1.2","HIGH","0.6","4.9","56","16.1","3.1","12.8","1.2","14.0","4","2.8","1.0","17","3081","170","335","48.9","0.02","1.3","0.9","0.07","5.8","8.8","18.20","0.23","1.08","1.98","0.26","0.72","1.91","54.4","7.1","19.9","47.52","46.1","54.4","8.3","5.32","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50079","N/A","10/12/2020","10/17/2020","0","12","8.4","","1.0","HIGH","0.6","6.8","97","17.6","6.8","9.2","1.7","10.9","9","7.3","1.9","46","2893","119","213","31.5","0.02","2.0","3.5","0.08","9.0","7.0","14.36","0.63","1.89","4.89","0.39","1.49","3.31","46.2","17.7","55.5","64.23","33.3","46.2","12.9","8.26","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50080","N/A","10/12/2020","10/17/2020","12","24","8.4","","1.4","HIGH","0.8","5.0","87","43.4","7.1","34.2","1.8","36.0","4","2.9","0.6","32","3199","146","315","66.8","0.01","1.7","1.6","0.08","5.7","5.8","12.15","0.20","1.65","5.49","0.10","0.50","2.95","135.7","6.9","38.5","108.75","123.1","135.7","12.6","8.03","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50081","N/A","10/12/2020","10/17/2020","24","36","8.6","","1.1","HIGH","0.7","4.9","54","43.3","5.1","37.4","1.2","38.6","3","2.7","0.3","23","3126","168","347","34.9","0.01","1.2","1.0","0.04","5.3","9.0","10.69","0.13","1.83","3.25","0.08","0.20","2.09","145.5","6.3","27.5","109.31","134.6","145.5","10.9","6.97","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50082","N/A","10/12/2020","10/17/2020","0","12","8.2","","1.9","HIGH","0.8","7.7","58","55.0","6.0","48.5","0.8","49.3","3","2.7","0.5","29","3121","169","444","70.5","0.01","1.8","1.3","0.06","6.9","13.3","9.58","0.12","3.21","2.82","0.20","0.30","2.53","188.9","6.7","34.4","140.66","174.6","188.9","14.3","9.13","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50083","N/A","10/12/2020","10/17/2020","12","24","8.4","","1.6","HIGH","0.8","3.3","50","42.2","5.7","34.3","0.9","35.2","4","3.2","1.0","32","3214","162","369","81.3","0.01","1.5","1.2","0.06","5.8","6.6","8.79","0.16","1.50","4.23","0.20","0.81","1.91","132.1","7.8","38.9","107.07","123.5","132.1","8.7","5.54","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50084","N/A","10/12/2020","10/17/2020","24","36","8.6","","1.2","HIGH","0.5","3.1","43","37.7","3.6","31.9","1.1","33.0","4","3.1","0.7","34","3034","172","343","37.8","0.01","1.1","1.1","0.06","4.8","7.2","11.94","0.11","1.04","2.58","0.14","0.51","1.54","122.6","7.5","41.0","101.91","114.8","122.6","7.8","4.97","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50085","N/A","10/12/2020","10/17/2020","0","12","8.6","","0.7","HIGH","0.6","6.8","64","11.1","4.8","5.8","1.2","6.9","9","7.1","1.8","44","2904","123","200","28.1","0.01","2.1","3.3","0.11","9.0","10.7","13.27","0.76","2.05","2.76","0.59","1.25","2.44","32.4","17.6","53.2","54.19","20.7","32.4","11.6","7.44","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50086","N/A","10/12/2020","10/17/2020","12","24","8.6","","0.8","HIGH","0.4","7.0","33","13.8","3.7","10.1","0.9","11.0","4","3.9","0.1","28","3189","127","226","48.9","0.01","2.3","1.2","0.03","7.2","21.3","8.98","0.36","3.12","0.54","0.09","0.05","1.72","50.9","9.1","33.7","52.98","36.4","50.9","14.6","9.33","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50087","N/A","10/12/2020","10/17/2020","24","36","8.4","","1.4","HIGH","0.5","3.3","42","33.8","3.7","29.3","1.0","30.3","4","3.1","0.8","27","3213","143","266","63.9","0.01","1.3","1.0","0.05","4.6","7.9","11.40","0.12","1.16","2.51","0.18","0.59","1.53","113.4","7.5","32.7","91.82","105.5","113.4","7.9","5.04","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50088","N/A","10/12/2020","10/17/2020","0","12","8.5","","0.8","HIGH","0.6","7.7","73","10.1","4.2","4.6","1.8","6.5","10","7.6","2.3","45","2931","121","196","25.4","0.02","2.2","3.2","0.11","7.8","10.5","17.55","0.71","1.75","2.43","0.71","1.55","2.66","29.7","19.1","53.7","53.23","16.7","29.7","12.9","8.28","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50089","N/A","10/12/2020","10/17/2020","12","24","8.5","","1.1","HIGH","0.7","3.5","56","14.1","2.4","11.0","1.9","12.9","4","3.4","0.3","24","3153","142","254","50.6","0.01","1.4","1.3","0.07","5.7","6.2","23.48","0.21","0.60","1.80","0.05","0.21","1.72","48.6","7.8","28.2","48.22","39.6","48.6","9.0","5.73","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50090","N/A","10/12/2020","10/17/2020","24","36","8.6","","1.2","HIGH","0.6","5.0","55","30.1","2.8","27.6","1.3","28.9","4","2.9","1.0","28","3187","154","335","55.7","0.04","1.4","1.2","0.07","5.3","9.1","20.03","0.10","1.00","1.75","0.27","0.71","1.88","107.5","7.4","34.0","88.64","99.4","107.5","8.1","5.18","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50091","N/A","10/12/2020","10/17/2020","0","12","8.7","","0.5","HIGH","0.6","7.3","62","10.5","5.1","5.6","1.4","7.0","8","6.5","1.4","47","2958","130","217","24.9","0.02","1.8","3.2","0.08","8.6","11.7","12.17","0.95","2.40","2.74","0.48","0.89","2.49","34.0","16.1","56.5","56.28","20.3","34.0","13.7","8.78","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50092","N/A","10/12/2020","10/17/2020","12","24","8.5","","0.9","HIGH","0.7","4.0","48","7.9","3.1","4.2","1.0","5.2","3","3.1","0.1","23","3167","151","223","37.4","0.01","1.0","1.2","0.06","4.6","8.3","15.43","0.66","1.04","2.10","0.03","0.08","1.68","22.4","7.3","27.6","30.96","15.2","22.4","7.2","4.63","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50093","N/A","10/12/2020","10/17/2020","24","36","8.5","","1.2","HIGH","0.6","4.0","49","14.4","3.2","10.1","1.0","11.1","4","2.9","0.7","25","3091","177","318","71.6","0.01","1.1","1.1","0.05","4.8","8.1","15.43","0.29","1.04","2.17","0.17","0.52","1.71","43.8","7.1","30.5","46.00","36.4","43.8","7.4","4.74","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50094","N/A","10/12/2020","10/17/2020","0","12","8.8","","0.8","HIGH","0.6","6.2","65","11.3","4.7","5.7","1.5","7.1","11","9.0","1.9","48","2882","123","210","29.3","0.02","1.9","3.8","0.12","9.0","9.6","13.76","0.71","1.80","2.92","0.54","1.35","2.39","32.2","21.9","57.2","57.77","20.4","32.2","11.8","7.56","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50095","N/A","10/12/2020","10/17/2020","12","24","8.5","","1.1","HIGH","0.7","6.2","53","31.2","4.7","25.8","1.2","27.0","4","3.3","0.4","27","3213","148","281","67.3","0.01","1.3","1.6","0.07","4.5","11.8","11.33","0.18","2.19","2.46","0.14","0.25","2.14","105.2","7.8","32.8","86.76","92.9","105.2","12.3","7.86","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50096","N/A","10/12/2020","10/17/2020","24","36","8.5","","1.1","HIGH","0.6","3.1","42","44.6","4.4","40.5","1.0","41.5","3","2.7","0.5","24","3220","165","337","35.4","0.02","1.1","1.0","0.08","4.1","7.4","9.51","0.11","1.30","3.13","0.11","0.37","1.60","154.2","6.5","28.3","115.33","145.8","154.2","8.4","5.35","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50097","N/A","10/12/2020","10/17/2020","0","12","8.7","","0.9","HIGH","0.5","5.6","69","13.5","4.2","7.5","1.1","8.6","13","9.9","3.0","45","2912","122","202","28.2","0.02","1.8","3.6","0.11","8.8","8.1","16.28","0.46","1.38","2.86","0.73","2.26","2.36","36.0","24.4","53.5","59.33","27.1","36.0","8.9","5.68","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50098","N/A","10/12/2020","10/17/2020","12","24","8.3","","1.2","HIGH","0.7","7.6","57","32.5","3.0","27.4","1.6","29.0","4","3.3","0.6","24","3260","140","263","71.6","0.02","1.4","1.6","0.09","4.6","13.3","18.87","0.10","1.61","1.42","0.22","0.33","2.21","110.2","8.1","28.8","88.08","98.6","110.2","11.6","7.40","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50099","N/A","10/12/2020","10/17/2020","24","36","8.5","","1.3","HIGH","0.6","3.2","54","40.1","5.1","32.9","1.6","34.5","3","2.6","0.5","20","3147","156","293","39.8","0.02","1.1","1.4","0.09","4.4","5.9","10.64","0.14","1.20","3.87","0.09","0.42","1.91","128.5","6.2","23.6","96.42","118.4","128.5","10.0","6.41","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50100","N/A","10/12/2020","10/17/2020","0","12","8.6","","1.0","HIGH","0.6","6.2","64","28.4","5.3","23.2","1.8","25.0","9","7.0","2.2","48","2906","132","275","46.0","0.01","2.2","3.1","0.06","9.6","9.7","12.12","0.23","2.05","3.21","0.64","1.54","2.42","97.5","17.5","57.3","97.86","83.5","97.5","14.0","8.96","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50101","N/A","10/12/2020","10/17/2020","12","24","8.4","","1.2","HIGH","0.5","4.1","44","43.9","4.4","38.0","1.0","39.0","3","2.5","0.8","20","3329","159","341","65.6","0.01","1.3","1.2","0.05","4.9","9.3","9.91","0.11","1.66","2.79","0.23","0.61","1.74","146.3","6.2","24.0","108.06","136.8","146.3","9.5","6.09","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50102","N/A","10/12/2020","10/17/2020","24","36","8.4","","1.1","HIGH","0.5","3.1","44","25.1","4.7","19.0","1.1","20.1","3","2.7","0.6","18","3093","165","277","26.9","0.03","1.0","1.0","0.04","4.3","7.1","9.36","0.23","1.33","3.37","0.13","0.49","1.66","77.3","6.6","21.4","62.73","68.4","77.3","8.9","5.68","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50103","N/A","10/12/2020","10/17/2020","0","12","8.6","","0.8","HIGH","0.5","6.0","57","16.3","3.2","12.0","1.3","13.3","13","10.9","2.5","48","2892","127","192","19.0","0.01","2.1","3.5","0.08","9.4","10.6","17.80","0.24","1.35","1.84","0.79","1.70","2.05","52.8","26.9","57.2","72.87","43.2","52.8","9.6","6.15","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50104","N/A","10/12/2020","10/17/2020","12","24","8.8","","0.7","HIGH","0.5","7.3","50","14.5","2.3","13.3","1.1","14.4","5","4.5","0.6","35","3066","134","200","27.7","0.01","1.6","2.2","0.10","6.1","14.6","21.94","0.19","1.33","0.95","0.26","0.33","1.96","56.5","10.9","41.8","61.27","47.9","56.5","8.6","5.49","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50105","N/A","10/12/2020","10/17/2020","24","36","8.6","","0.9","HIGH","0.6","3.3","42","15.0","1.6","12.6","1.1","13.7","4","3.1","0.9","20","3172","165","223","52.4","0.02","1.2","1.1","0.07","4.0","7.9","27.05","0.12","0.49","1.06","0.21","0.69","1.32","51.1","7.6","24.4","47.86","45.4","51.1","5.8","3.68","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50106","N/A","10/12/2020","10/17/2020","0","12","8.7","","0.6","HIGH","0.5","5.9","54","9.2","5.1","4.2","1.9","6.1","15","11.1","3.7","52","2832","116","169","20.1","0.01","2.2","4.0","0.09","9.0","11.0","10.57","1.22","2.23","2.83","1.23","2.49","2.17","29.8","28.4","62.3","61.31","15.1","29.8","14.7","9.43","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
